sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H0500269,cerdito-con-sonido-gadget-and-gifts.jpg,cerdito-con-sonido-gadget-and-gifts imagen,cerdito-con-sonido-gadget-and-gifts.jpg,cerdito-con-sonido-gadget-and-gifts imagen,cerdito-con-sonido-gadget-and-gifts.jpg,cerdito-con-sonido-gadget-and-gifts imagen
H4600036,mapamundi-para-rascar.jpg,mapamundi-para-rascar imagen,mapamundi-para-rascar.jpg,mapamundi-para-rascar imagen,mapamundi-para-rascar.jpg,mapamundi-para-rascar imagen
H4515111,guitarra-electrica-de-juguete-con-sonido.jpg,guitarra-electrica-de-juguete-con-sonido imagen,guitarra-electrica-de-juguete-con-sonido.jpg,guitarra-electrica-de-juguete-con-sonido imagen,guitarra-electrica-de-juguete-con-sonido.jpg,guitarra-electrica-de-juguete-con-sonido imagen
H4530319,espada-laser-con-luz-y-sonido-space-i.jpg,espada-laser-con-luz-y-sonido-space-i imagen,espada-laser-con-luz-y-sonido-space-i.jpg,espada-laser-con-luz-y-sonido-space-i imagen,espada-laser-con-luz-y-sonido-space-i.jpg,espada-laser-con-luz-y-sonido-space-i imagen
H4530320,espada-laser-con-luz-y-sonido-space-ii.jpg,espada-laser-con-luz-y-sonido-space-ii imagen,espada-laser-con-luz-y-sonido-space-ii.jpg,espada-laser-con-luz-y-sonido-space-ii imagen,espada-laser-con-luz-y-sonido-space-ii.jpg,espada-laser-con-luz-y-sonido-space-ii imagen
H4530321,experimento-de-reloj-patata.jpg,experimento-de-reloj-patata imagen,experimento-de-reloj-patata.jpg,experimento-de-reloj-patata imagen,experimento-de-reloj-patata.jpg,experimento-de-reloj-patata imagen
H4530322,pato-de-peluche-grabador-y-reproductor-de-voz.jpg,pato-de-peluche-grabador-y-reproductor-de-voz imagen,pato-de-peluche-grabador-y-reproductor-de-voz.jpg,pato-de-peluche-grabador-y-reproductor-de-voz imagen,pato-de-peluche-grabador-y-reproductor-de-voz.jpg,pato-de-peluche-grabador-y-reproductor-de-voz imagen
H3525276,lapiz-magico-3draw.jpg,lapiz-magico-3draw imagen,lapiz-magico-3draw.jpg,lapiz-magico-3draw imagen,lapiz-magico-3draw.jpg,lapiz-magico-3draw imagen
H4501104,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen
H4501143,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen,coche-teledirigido-porsche-911-gt3-rs-124.jpg,coche-teledirigido-porsche-911-gt3-rs-124 imagen
H4501145,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen
H4501146,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen,coche-teledirigido-porsche-cayenne-turbo.jpg,coche-teledirigido-porsche-cayenne-turbo imagen
